Mã người đăng,Mã bài đăng,Mã dự án,Tỉnh/Thành phố cũ,Tỉnh/Thành phố mới,Huyện/Quận cũ,Phường/Xã cũ,Phường mới,Số nhà,Đường,Loại hình,Cập nhât lần cuối,Số tầng,Có hướng ra đường,Vĩ độ,Kinh độ,Tọa độ,Tọa độ ID,Giá (chữ),Chiều dài,Chiều rộng,Mức độ quảng cáo,Đăng bởi Đối tác,Ngày đăng,Giá bán,Hình thức,Hướng cửa chính,Tình trạng nội thất,Loại hình văn phòng,Đơn giá (tr/m2),Giấy tờ pháp lý,Diện tích
11215990,124634366,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Tân Bình,Phường 13,Phường Tân Bình,,Đường Cộng Hòa,"Văn phòng, Mặt bằng kinh doanh",7 ngày trước,0,True,10.802163,106.64508,"10.8021636,106.6450801",osm:W705727326,112 tỷ,,,0,False,2026-03-23 14:14:46,112000000000 ₫,Mua bán,,,Văn phòng,448 tr/m²,Đã có sổ,250 m²
8874228,124821286,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 6,Phường 11,Phường Bình Phú,199,Đường Bình Phú,"Văn phòng, Mặt bằng kinh doanh",4 ngày trước,0,True,10.7423525,106.630005,"10.7423525,106.6300031",osm:W608544103,"21,5 tỷ",,,0,False,2026-03-26 10:12:16,21500000000 ₫,Mua bán,Đông,,Mặt bằng kinh doanh,268.75 tr/m²,Đã có sổ,80 m²
3849308,125020212,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Tân Phú,Phường Tây Thạnh,Phường Tây Thạnh,,Đường D10,"Văn phòng, Mặt bằng kinh doanh",12 giờ trước,0,True,10.81558,106.625755,"10.8155799,106.6257578",osm:W32576848,"13,5 tỷ",,,0,False,2026-03-31 10:53:21,13500000000 ₫,Mua bán,Đông Nam,Nội thất cao cấp,Mặt bằng kinh doanh,135 tr/m²,Đã có sổ,100 m²
23498138,125049973,,Bình Dương,TP Hồ Chí Minh,Thành phố Thủ Dầu Một,Phường Phú Lợi,Phường Phú Lợi,,Đường Huỳnh Văn Nghệ,"Văn phòng, Mặt bằng kinh doanh",3 tuần trước,0,True,10.987071,106.67594,"10.987071,106.6759433",osm:W145620906,"12,2 tỷ",,,0,False,2026-03-12 16:01:01,12200000000 ₫,Mua bán,Tây,Hoàn thiện cơ bản,Văn phòng,105.17242 tr/m²,Đã có sổ,116 m²
11937514,125742679,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Long Thạnh Mỹ (Quận 9 cũ),Phường Long Bình,,Đường Nguyễn Văn Tăng,"Văn phòng, Mặt bằng kinh doanh",2 tuần trước,0,True,10.842542,106.820076,"10.842542,106.8200785",osm:W32583376,"28,5 tỷ",,,0,False,2026-03-18 07:44:35,28500000000 ₫,Mua bán,Bắc,Nội thất đầy đủ,Mặt bằng kinh doanh,156.5934 tr/m²,Đã có sổ,182 m²
4281204,125819067,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Tân Nhựt,Xã Tân Nhựt,,Nguyễn Đình Kiên,"Văn phòng, Mặt bằng kinh doanh",4 giờ trước,0,False,10.715549,106.55251,"10.7155493,106.5525145",,"22,5 tỷ",,,0,False,2026-03-30 09:59:39,22500000000 ₫,Mua bán,,,Mặt bằng kinh doanh,22.5 tr/m²,Đã có sổ,1000 m²
2248889,125901846,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Hóc Môn,Xã Nhị Bình,Xã Đông Thạnh,,Đường Nhị Bình 15,"Văn phòng, Mặt bằng kinh doanh",2 tuần trước,0,True,10.905509,106.67681,"10.9055091,106.6768103",osm:W531200808,"16,5 tỷ",,,0,False,2026-03-18 15:49:24,16500000000 ₫,Mua bán,Nam,Hoàn thiện cơ bản,Mặt bằng kinh doanh,16.5 tr/m²,Đã có sổ,1000 m²
20669403,125907220,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 13,Phường Bình Lợi Trung,,Đường Đặng Thùy Trâm,"Văn phòng, Mặt bằng kinh doanh",4 tuần trước,0,False,10.824377,106.70332,"10.8243772,106.7033222",,"19,9 tỷ",,,,False,2026-03-02 11:36:15,19900000000 ₫,Mua bán,,,Mặt bằng kinh doanh,90.454544 tr/m²,Đã có sổ,220 m²
17455462,126109953,,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Thành phố Vũng Tàu,Phường Thắng Nhì,Phường Vũng Tàu,,Đường Vi Ba,"Văn phòng, Mặt bằng kinh doanh",4 tuần trước,0,True,10.36159,107.07381,"10.36159,107.07381",osm:W220821614,"15,5 tỷ",,,0,False,2026-03-05 14:44:10,15500000000 ₫,Mua bán,,Hoàn thiện cơ bản,Mặt bằng kinh doanh,7.4590955 tr/m²,Đã có sổ,2078 m²
935679,126457424,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,Phường Thới An,175,Đường Thạnh Xuân 52,"Văn phòng, Mặt bằng kinh doanh",2 tuần trước,0,True,10.897721,106.68662,"10.8977209,106.6866258",osm:W322872789,"11,5 tỷ",,,0,False,2026-03-13 12:24:12,11500000000 ₫,Mua bán,,Nội thất đầy đủ,Mặt bằng kinh doanh,40.925266 tr/m²,Đã có sổ,281 m²
10343901,126503969,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Phường Hiệp Bình,,Đường Hiệp Bình,"Văn phòng, Mặt bằng kinh doanh",2 tuần trước,0,True,10.837765,106.73258,"10.8377644,106.7325841",osm:W305402847,26 tỷ,,,0,False,2026-03-13 10:45:08,26000000000 ₫,Mua bán,,Nội thất đầy đủ,Mặt bằng kinh doanh,191.17647 tr/m²,Đã có sổ,136 m²
14620,126587204,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Hóc Môn,Xã Xuân Thới Thượng,Xã Bà Điểm,,Đường Xuân Thới Thượng,"Văn phòng, Mặt bằng kinh doanh",3 tuần trước,0,True,10.864772,106.57027,"10.8647721,106.5702661",osm:W1191702297,25 tỷ,,,0,False,2026-03-08 16:47:00,25000000000 ₫,Mua bán,,,Mặt bằng kinh doanh,22.727272 tr/m²,Đã có sổ,1100 m²
1371053,126611803,,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Thị xã Phú Mỹ,Xã Tóc Tiên,Xã Châu Pha,,Đường Phú Mỹ - Tóc Tiên,"Văn phòng, Mặt bằng kinh doanh",3 tuần trước,0,True,10.606595,107.09493,"10.6065949,107.0949345",osm:W147865873,18 tỷ,,,0,False,2026-03-11 12:00:26,18000000000 ₫,Mua bán,Đông,Hoàn thiện cơ bản,Mặt bằng kinh doanh,6.428571 tr/m²,Đã có sổ,2800 m²
22681973,126709360,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Tam Bình (Quận Thủ Đức cũ),Phường Tam Bình,,Đường Tô Ngọc Vân,"Văn phòng, Mặt bằng kinh doanh",7 ngày trước,0,True,10.868182,106.73581,"10.8681825,106.7358116",osm:W370714755,"16,9 tỷ",,,0,False,2026-03-23 20:55:13,16900000000 ₫,Mua bán,,,Mặt bằng kinh doanh,108.333336 tr/m²,Đã có sổ,156 m²
22214079,126805026,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 10,Phường 11,Phường Vườn Lài,,Đường Cao Thắng,"Văn phòng, Mặt bằng kinh doanh",6 ngày trước,0,False,10.773697,106.67799,"10.7736972,106.6779937",,65 tỷ,,,0,False,2026-03-24 07:07:49,65000000000 ₫,Mua bán,,Nội thất đầy đủ,Mặt bằng kinh doanh,714.2857 tr/m²,Đã có sổ,91 m²
2077678,126847466,2064367520,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Long Thạnh Mỹ (Quận 9 cũ),Phường Long Bình,,Nguyễn Xiển,"Văn phòng, Mặt bằng kinh doanh",2 giờ trước,0,False,10.8454,106.81972,"10.8454,106.81972",,"18,5 tỷ",,,0,False,2026-03-31 17:08:53,18500000000 ₫,Mua bán,Đông Nam,Hoàn thiện cơ bản,Mặt bằng kinh doanh,270.46783 tr/m²,Đã có sổ,68.4 m²
10343901,126880502,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Bình Thọ (Quận Thủ Đức cũ),Phường Thủ Đức,,Đường Chu Mạnh Trinh,"Văn phòng, Mặt bằng kinh doanh",4 tuần trước,0,True,10.848434,106.7663,"10.8484344,106.7662975",osm:W1221451185,"22,2 tỷ",,,,False,2026-03-03 10:48:46,22200000000 ₫,Mua bán,,,Mặt bằng kinh doanh,153.10345 tr/m²,Đã có sổ,145 m²
1254819,126908367,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,Phường Bình Trị Đông,392A-392B,Mã Lò,"Văn phòng, Mặt bằng kinh doanh",20 giờ trước,0,False,10.763908,106.614395,"10.7639086,106.6143944",,56 tỷ,,,0,False,2026-03-29 13:44:05,56000000000 ₫,Mua bán,Tây,Bàn giao thô,Mặt bằng kinh doanh,97.05373 tr/m²,Đã có sổ,577 m²
22364822,127300359,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Thới An,Phường Thới An,,Đường Lê Văn Khương,"Văn phòng, Mặt bằng kinh doanh",2 tuần trước,0,True,10.86917,106.649414,"10.8691704,106.6494105",osm:W32580208,"48,5 tỷ",,,0,False,2026-03-17 14:20:04,48500000000 ₫,Mua bán,,Nội thất đầy đủ,Mặt bằng kinh doanh,82.20339 tr/m²,Đã có sổ,590 m²
10343901,127330995,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Tăng Nhơn Phú A (Quận 9 cũ),Phường Tăng Nhơn Phú,,Đường Lê Văn Việt,"Văn phòng, Mặt bằng kinh doanh",3 tuần trước,0,True,10.844507,106.79025,"10.8445073,106.7902533",osm:W722361739,58 tỷ,,,0,False,2026-03-09 15:01:18,58000000000 ₫,Mua bán,,,Mặt bằng kinh doanh,234.81781 tr/m²,Đã có sổ,247 m²
4536428,127395679,963864228,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,Phường Đông Hưng Thuận,,Phan Văn Hớn,"Văn phòng, Mặt bằng kinh doanh",3 ngày trước,0,False,10.82954,106.61561,"10.82954,106.61561",,"3,5 tỷ",,,0,False,2026-03-27 10:29:03,3500000000 ₫,Mua bán,,,Shophouse,35 tr/m²,Giấy tờ khác,100 m²
26259600,127409054,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 8,Phường 16,Phường Phú Định,,Đường Hoàng Ngân,"Văn phòng, Mặt bằng kinh doanh",3 tuần trước,0,True,10.724309,106.628075,"10.7243088,106.6280727",osm:W796360467,23 tỷ,,,0,False,2026-03-09 10:37:27,23000000000 ₫,Mua bán,,,Mặt bằng kinh doanh,115 tr/m²,Đã có sổ,200 m²
26259600,127409154,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Lê Minh Xuân,Xã Bình Lợi,,Đường Lê Đình Chi,"Văn phòng, Mặt bằng kinh doanh",3 tuần trước,0,True,10.742589,106.512794,"10.7425888,106.512794",osm:W32582303,"14,5 tỷ",,,0,False,2026-03-09 11:00:30,14500000000 ₫,Mua bán,,,Mặt bằng kinh doanh,24.166666 tr/m²,Đã có sổ,600 m²
10343901,127420002,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Long Thạnh Mỹ (Quận 9 cũ),Phường Long Bình,,Đường Phước Thiện,"Văn phòng, Mặt bằng kinh doanh",4 tuần trước,0,False,10.847798,106.8344,"10.8477985,106.8343946",,30 tỷ,,,,False,2026-03-04 19:09:41,30000000000 ₫,Mua bán,,,Mặt bằng kinh doanh,150 tr/m²,Đã có sổ,200 m²
24260816,127651463,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 10,Phường 14,Phường Diên Hồng,,Đường 3 Tháng 2,"Văn phòng, Mặt bằng kinh doanh",4 tuần trước,0,True,10.765761,106.663475,"10.7657612,106.6634773",osm:W719039661,"6,9 tỷ",,,,False,2026-03-05 13:23:02,6900000000 ₫,Mua bán,,,Văn phòng,230 tr/m²,Đã có sổ,30 m²
9080395,127810330,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Củ Chi,Xã Bình Mỹ,Xã Bình Mỹ,,Đường Võ Văn Bích,"Văn phòng, Mặt bằng kinh doanh",2 tuần trước,0,True,10.92049,106.60072,"10.9204904,106.6007218",osm:W704757099,65 tỷ,,,0,False,2026-03-13 14:07:04,65000000000 ₫,Mua bán,,,Mặt bằng kinh doanh,14.772727 tr/m²,Đã có sổ,4400 m²
10343901,127828274,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Phường Hiệp Bình,,Đường Phạm Văn Đồng,"Văn phòng, Mặt bằng kinh doanh",4 tuần trước,0,True,10.826589,106.71712,"10.8265891,106.7171152",osm:W568287093,26 tỷ,,,,False,2026-03-03 10:49:06,26000000000 ₫,Mua bán,,,Mặt bằng kinh doanh,211.38211 tr/m²,Đã có sổ,123 m²
568079,128170669,19501217,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 8,Phường 4,Phường Chánh Hưng,196,Cao Lỗ,"Văn phòng, Mặt bằng kinh doanh",2 tuần trước,0,False,10.73904,106.67821,"10.73904,106.67821",,"9,5 tỷ",,,0,False,2026-03-14 14:34:20,9500000000 ₫,Mua bán,,,Mặt bằng kinh doanh,70.37037 tr/m²,Đang chờ sổ,135 m²
405632,128173598,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 14,Phường Bình Thạnh,,Đường Nguyễn Huy Lượng,"Văn phòng, Mặt bằng kinh doanh",3 tuần trước,0,True,10.805624,106.6963,"10.8056237,106.6962949",osm:W32588217,79 tỷ,,,0,False,2026-03-06 16:21:53,79000000000 ₫,Mua bán,,,Mặt bằng kinh doanh,282.14285 tr/m²,Đã có sổ,280 m²
1090850,128213796,,Bình Dương,TP Hồ Chí Minh,Thành phố Thủ Dầu Một,Phường Hiệp Thành,Phường Phú Lợi,,Đường số 10,"Văn phòng, Mặt bằng kinh doanh",4 tuần trước,0,True,11.000239,106.67037,"11.000239,106.6703733",osm:W146071007,"4,95 tỷ",,,0,False,2026-03-05 15:45:24,4950000000 ₫,Mua bán,,,Mặt bằng kinh doanh,49.5 tr/m²,Đã có sổ,100 m²
57036,128220808,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Thới An,Phường Thới An,,Đường Quốc lộ 1,"Văn phòng, Mặt bằng kinh doanh",3 tuần trước,0,True,10.861778,106.659805,"10.8617778,106.6598065",osm:W404671143,45 tỷ,,,0,False,2026-03-07 10:03:20,45000000000 ₫,Mua bán,,,Mặt bằng kinh doanh,28.125 tr/m²,Đã có sổ,1600 m²
18240812,128228956,774896326,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 26,Phường Bình Thạnh,Số 207,Nguyễn Xí,"Văn phòng, Mặt bằng kinh doanh",1 tuần trước,0,False,10.81631,106.70645,"10.81631,106.70645",,"9,1 tỷ",,,0,False,2026-03-22 11:47:06,9100000000 ₫,Mua bán,,,Shophouse,146.7742 tr/m²,Đang chờ sổ,62 m²
12434428,128365987,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Tân Phú,Phường Tân Sơn Nhì,Phường Tân Sơn Nhì,,Đường Tân Sơn Nhì,"Văn phòng, Mặt bằng kinh doanh",2 tuần trước,0,True,10.802908,106.63612,"10.8029084,106.6361258",osm:W32588479,41 tỷ,,,0,False,2026-03-13 14:41:18,41000000000 ₫,Mua bán,,,Mặt bằng kinh doanh,208.12183 tr/m²,Đã có sổ,197 m²
23498138,128496614,,Bình Dương,TP Hồ Chí Minh,Thành phố Thủ Dầu Một,Phường Phú Lợi,Phường Phú Lợi,,Đường Huỳnh Văn Nghệ,"Văn phòng, Mặt bằng kinh doanh",4 tuần trước,0,True,10.987071,106.67594,"10.987071,106.6759433",osm:W145620906,"11,5 tỷ",,,,False,2026-03-02 17:25:24,11500000000 ₫,Mua bán,,,Mặt bằng kinh doanh,99.13793 tr/m²,Đã có sổ,116 m²
9196204,128515369,1275317594,Bình Dương,TP Hồ Chí Minh,Thị xã Bến Cát,Phường Mỹ Phước,Phường Bến Cát,,DA1-1,"Văn phòng, Mặt bằng kinh doanh",2 tuần trước,0,False,11.14645,106.61191,"11.14645,106.61191",,890 triệu,,,0,False,2026-03-18 23:52:21,890000000 ₫,Mua bán,Đông Nam,Nội thất đầy đủ,Shophouse,15.614035 tr/m²,Đang chờ sổ,57 m²
443229,128603328,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Cát Lái (Quận 2 cũ),Phường Cát Lái,,55,"Văn phòng, Mặt bằng kinh doanh",15 giờ trước,0,False,10.781944,106.768234,"10.781944,106.768234",,"14,95 tỷ",,,0,False,2026-03-31 07:33:42,14950000000 ₫,Mua bán,,,Shophouse,125.63025 tr/m²,Đã có sổ,119 m²
10343901,128668597,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Tăng Nhơn Phú A (Quận 9 cũ),Phường Tăng Nhơn Phú,,Đường số 8,"Văn phòng, Mặt bằng kinh doanh",3 tuần trước,0,False,10.843692,106.78679,"10.8436916,106.7867917",,40 tỷ,,,0,False,2026-03-06 14:46:40,40000000000 ₫,Mua bán,,Nội thất đầy đủ,Mặt bằng kinh doanh,108.10811 tr/m²,Đã có sổ,370 m²
9196204,128736917,1275317594,Bình Dương,TP Hồ Chí Minh,Thị xã Bến Cát,Phường Mỹ Phước,Phường Bến Cát,,DA1-1,"Văn phòng, Mặt bằng kinh doanh",1 tuần trước,0,False,11.14645,106.61191,"11.14645,106.61191",,850 triệu,,,0,False,2026-03-21 17:36:49,850000000 ₫,Mua bán,Đông Nam,Nội thất đầy đủ,Shophouse,14.912281 tr/m²,Đang chờ sổ,57 m²
24260816,128810982,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 3,Phường 12,Phường Nhiêu Lộc,,Đường Trường Sa,"Văn phòng, Mặt bằng kinh doanh",1 giờ trước,0,True,10.788859,106.66867,"10.7888593,106.6686726",osm:W696793705,8 tỷ,,,0,False,2026-03-30 08:16:39,8000000000 ₫,Mua bán,Đông Nam,,Mặt bằng kinh doanh,200 tr/m²,Đã có sổ,40 m²
29890905,128813343,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 6,Phường 10,Phường Bình Phú,,Đường số 59,"Văn phòng, Mặt bằng kinh doanh",2 tuần trước,0,True,10.737178,106.62383,"10.7371782,106.6238305",osm:W182599758,42 tỷ,,,0,False,2026-03-19 13:15:49,42000000000 ₫,Mua bán,,Nội thất cao cấp,Văn phòng,196.26169 tr/m²,Đã có sổ,214 m²
19148654,128874816,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Củ Chi,Xã Phú Hòa Đông,Xã Phú Hòa Đông,,Đường Nguyễn Văn Khạ,"Văn phòng, Mặt bằng kinh doanh",2 tuần trước,0,True,11.018926,106.5392,"11.0189258,106.5391972",osm:W32771452,"6,5 tỷ",,,0,False,2026-03-14 13:34:01,6500000000 ₫,Mua bán,,Nội thất đầy đủ,Mặt bằng kinh doanh,38.46154 tr/m²,Đã có sổ,169 m²
26772767,128890621,,Bình Dương,TP Hồ Chí Minh,Huyện Bàu Bàng,Xã Long Nguyên,Phường Long Nguyên,,Đường Nhựa Long Nguyên 619,"Văn phòng, Mặt bằng kinh doanh",4 tuần trước,0,False,11.201767,106.54662,"11.2017672,106.5466221",,"44,2 tỷ",,,,False,2026-03-02 08:03:32,44200000000 ₫,Mua bán,Nam,Nội thất cao cấp,Mặt bằng kinh doanh,5.525 tr/m²,Đã có sổ,8000 m²
9196204,128894649,1275317594,Bình Dương,TP Hồ Chí Minh,Thị xã Bến Cát,Phường Mỹ Phước,Phường Bến Cát,,DA1-1,"Văn phòng, Mặt bằng kinh doanh",3 ngày trước,0,False,11.14645,106.61191,"11.14645,106.61191",,850 triệu,,,0,False,2026-03-27 20:20:49,850000000 ₫,Mua bán,Đông Nam,Nội thất đầy đủ,Shophouse,14.912281 tr/m²,Đang chờ sổ,57 m²
9196204,128904570,1275317594,Bình Dương,TP Hồ Chí Minh,Thị xã Bến Cát,Phường Mỹ Phước,Phường Bến Cát,,DA1-1,"Văn phòng, Mặt bằng kinh doanh",4 ngày trước,0,False,11.14645,106.61191,"11.14645,106.61191",,850 triệu,,,0,False,2026-03-26 11:37:33,850000000 ₫,Mua bán,Đông Nam,Nội thất đầy đủ,Shophouse,14.912281 tr/m²,Giấy tờ khác,57 m²
