Mã người đăng,Mã bài đăng,Mã dự án,Tỉnh/Thành phố cũ,Tỉnh/Thành phố mới,Huyện/Quận cũ,Phường/Xã cũ,Phường mới,Số nhà,Đường,Loại hình,Cập nhât lần cuối,Số tầng,Có hướng ra đường,Vĩ độ,Kinh độ,Tọa độ,Tọa độ ID,Giá (chữ),Chiều dài,Chiều rộng,Mức độ quảng cáo,Đăng bởi Đối tác,Ngày đăng,Giá bán,Hình thức,Tình trạng nội thất,Đặc điểm căn hộ,Hướng cửa chính,Loại hình căn hộ,Hướng ban công,Đơn giá (tr/m2),Giấy tờ pháp lý,Số phòng ngủ,Diện tích,Số phòng vệ sinh
12258163,106998043,963864228,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,Phường Đông Hưng Thuận,,"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",Căn hộ/Chung cư,6 ngày trước,0,False,10.8295,106.6156,"10.8295,106.6156",,"2,99 tỷ",,,0,False,2026-03-23 15:17:54,2990000000 ₫,Mua bán,,,,Chung cư,,46 tr/m²,Sổ hồng riêng,2 PN,65 m²,
11156916,107276821,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Phước Long B (Quận 9 cũ),Phường Phước Long,,Đường Huy Cận,Căn hộ/Chung cư,2 ngày trước,0,False,10.8163,106.7787,"10.8163,106.7787",,"3,85 tỷ",,,0,False,2026-03-27 18:00:05,3850000000 ₫,Mua bán,Hoàn thiện cơ bản,Căn góc,Đông Nam,Chung cư,Đông Bắc,58.333332 tr/m²,Sổ hồng riêng,2 PN,66 m²,2
22230704,107595122,807459125,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,Xã Bình Hưng,13E,Nguyễn Văn Linh,Căn hộ/Chung cư,3 tuần trước,0,False,10.71096,106.64413,"10.71096,106.64413",,"1,95 tỷ",,,0,False,2026-03-06 16:12:04,1950000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,39 tr/m²,Đang chờ sổ,2 PN,50 m²,2
22230704,107765175,807459125,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,Xã Bình Hưng,13E,Nguyễn Văn Linh,Căn hộ/Chung cư,3 tuần trước,0,False,10.71096,106.64413,"10.71096,106.64413",,"1,99 tỷ",,,0,False,2026-03-09 13:25:03,1990000000 ₫,Mua bán,,,,Chung cư,,39.8 tr/m²,Đang chờ sổ,2 PN,50 m²,2
22331806,108097161,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 1,Phường Bến Thành,Phường Bến Thành,,Đường Lý Tự Trọng,Căn hộ/Chung cư,3 tuần trước,0,False,10.772787,106.69543,"10.772787,106.69543",,6 tỷ,,,0,False,2026-03-09 20:05:04,6000000000 ₫,Mua bán,,,,"Tập thể, cư xá",,117.64706 tr/m²,Sổ hồng riêng,1 PN,51 m²,1
23778981,108166708,,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Bình Hòa,Phường Bình Hòa,,Nguyễn Du,Căn hộ/Chung cư,2 tháng trước,0,False,10.9193,106.7329,"10.9193,106.7329",,"1,95 tỷ",,,,False,2026-01-31 10:03:26,1950000000 ₫,Mua bán,Nội thất đầy đủ,Căn góc,Đông,Chung cư,Tây,30 tr/m²,Đang chờ sổ,2 PN,65 m²,2
263046,108557115,205719341,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Hiệp Thành,Phường Tân Thới Hiệp,,Nguyễn Thị Búp,Căn hộ/Chung cư,7 ngày trước,0,False,10.87387,106.63121,"10.87387,106.63121",,"2,2 tỷ",,,0,False,2026-03-23 09:42:44,2200000000 ₫,Mua bán,,,,Chung cư,,37.288136 tr/m²,1,2 PN,59 m²,2
459803,109718687,1754463435,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Hưng Định,Phường Thuận An,,Đường Đại Lộ Bình Dương,Căn hộ/Chung cư,3 tuần trước,0,False,10.9488,106.7068,"10.9488,106.7068",,"1,5 tỷ",,,0,False,2026-03-07 10:12:54,1500000000 ₫,Mua bán,Nội thất đầy đủ,,Đông Bắc,Chung cư,Tây Nam,20.547945 tr/m²,Sổ hồng riêng,3 PN,73 m²,2
22230704,110066621,807459125,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,Xã Bình Hưng,13E,Nguyễn Văn Linh,Căn hộ/Chung cư,6 giờ trước,0,False,10.71096,106.64413,"10.71096,106.64413",,"2,1 tỷ",,,0,False,2026-03-31 15:50:55,2100000000 ₫,Mua bán,,0,,Chung cư,,42 tr/m²,Hợp đồng mua bán,2 PN,50 m²,2
25448567,110069901,,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Bình Hòa,Phường Bình Hòa,,Nguyễn Du,Căn hộ/Chung cư,2 tuần trước,0,False,10.919315,106.73298,"10.919315,106.73298",,"1,3 tỷ",,,0,False,2026-03-15 11:08:56,1300000000 ₫,Mua bán,Hoàn thiện cơ bản,,,Chung cư,Đông Nam,22.033897 tr/m²,1,2 PN,59 m²,2
23789177,110099671,291705171,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Vĩnh Phú,Phường Bình Hòa,,Quốc Lộ 13,Căn hộ/Chung cư,hôm qua,0,False,10.8693,106.71427,"10.8693,106.71427",,"3,18 tỷ",,,,False,2026-03-28 11:07:38,3180000000 ₫,Mua bán,,,,Chung cư,,42.972973 tr/m²,Sổ hồng riêng,2 PN,74 m²,2
17465364,110270793,972004339,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Nhà Bè,Xã Phú Xuân,Xã Nhà Bè,15B,Nguyễn Lương Bằng,Căn hộ/Chung cư,hôm qua,0,False,10.67615,106.74499,"10.67615,106.74499",,3 tỷ,,,0,False,2026-03-28 20:57:04,3000000000 ₫,Mua bán,Nội thất đầy đủ,Căn góc,,Chung cư,,40 tr/m²,Sổ hồng riêng,2 PN,75 m²,2
17465364,110309706,972004339,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Nhà Bè,Xã Phú Xuân,Xã Nhà Bè,15B,Nguyễn Lương Bằng,Căn hộ/Chung cư,5 ngày trước,0,False,10.67615,106.74499,"10.67615,106.74499",,"2,9 tỷ",,,0,False,2026-03-24 22:22:29,2900000000 ₫,Mua bán,Nội thất cao cấp,,,Chung cư,,38.666668 tr/m²,Sổ hồng riêng,2 PN,75 m²,2
19734740,110323978,,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Bình Hòa,Phường Bình Hòa,,Nguyễn Du,Căn hộ/Chung cư,2 tuần trước,0,False,10.919315,106.73298,"10.919315,106.73298",,"1,4 tỷ",,,0,False,2026-03-16 18:09:16,1400000000 ₫,Mua bán,,,Bắc,Chung cư,Nam,24.137932 tr/m²,1,2 PN,58 m²,2
25448567,110507739,,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Bình Hòa,Phường Bình Hòa,,Nguyễn Du,Căn hộ/Chung cư,1 tuần trước,0,False,10.919315,106.73298,"10.919315,106.73298",,"1,37 tỷ",,,0,False,2026-03-20 14:09:33,1370000000 ₫,Mua bán,,,,Chung cư,,23.220339 tr/m²,Sổ hồng riêng,2 PN,59 m²,2
23673812,110559015,,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Bình Hòa,Phường Bình Hòa,,Nguyễn Du,Căn hộ/Chung cư,4 ngày trước,0,False,10.919315,106.73298,"10.919315,106.73298",,"1,45 tỷ",,,0,False,2026-03-25 14:01:53,1450000000 ₫,Mua bán,,Căn góc,,Chung cư,Đông Nam,24.166666 tr/m²,Sổ hồng riêng,2 PN,60 m²,2
19734740,110562097,,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Bình Hòa,Phường Bình Hòa,,Nguyễn Du,Căn hộ/Chung cư,4 tuần trước,0,False,10.919315,106.73298,"10.919315,106.73298",,"1,4 tỷ",,,,False,2026-03-01 15:48:36,1400000000 ₫,Mua bán,,,Đông Nam,Chung cư,,26.923077 tr/m²,Sổ hồng riêng,2 PN,52 m²,2
19734740,110568864,,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Bình Hòa,Phường Bình Hòa,,Nguyễn Du,Căn hộ/Chung cư,3 tuần trước,0,False,10.919315,106.73298,"10.919315,106.73298",,"1,48 tỷ",,,0,False,2026-03-09 10:30:15,1480000000 ₫,Mua bán,,,,Chung cư,,25.51724 tr/m²,Sổ hồng riêng,2 PN,58 m²,2
12258163,110635688,963864228,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,Phường Đông Hưng Thuận,,"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",Căn hộ/Chung cư,4 ngày trước,0,False,10.82954,106.61561,"10.82954,106.61561",,"2,58 tỷ",,,0,False,2026-03-25 16:25:03,2580000000 ₫,Mua bán,,0,,Chung cư,,51.6 tr/m²,Sổ hồng riêng,2 PN,50 m²,2
10895332,110739414,725602298,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường An Bình,Phường Dĩ An,,Đào Trinh Nhất,Căn hộ/Chung cư,11 giờ trước,0,False,10.8743,106.7534,"10.8743,106.7534",,"3,4 tỷ",,,0,False,2026-03-29 11:09:39,3400000000 ₫,Mua bán,,,,Chung cư,,47.22222 tr/m²,Sổ hồng riêng,2 PN,72 m²,2
10895332,110943339,824127826,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 7,Phường Phú Thuận,Phường Phú Thuận,Số 4,Đào Trí,Căn hộ/Chung cư,3 ngày trước,0,False,10.722,106.7433,"10.722,106.7433",,"3,7 tỷ",,,0,False,2026-03-26 14:39:31,3700000000 ₫,Mua bán,,,,Chung cư,,54.411766 tr/m²,Hợp đồng mua bán,2 PN,68 m²,2
10895332,111066445,824127826,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 7,Phường Phú Thuận,Phường Phú Thuận,Số 4,Đào Trí,Căn hộ/Chung cư,2 ngày trước,0,False,10.722,106.7433,"10.722,106.7433",,3 tỷ,,,0,False,2026-03-27 16:05:05,3000000000 ₫,Mua bán,,,,Chung cư,,56.603775 tr/m²,Hợp đồng mua bán,1 PN,53 m²,1
10895332,111180655,1675681793,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường An Phú (Quận 2 cũ),Phường Bình Trưng,,Nguyễn Thị Định,Căn hộ/Chung cư,hôm qua,0,False,10.7916,106.7534,"10.7916,106.7534",,7 tỷ,,,,False,2026-03-28 15:34:06,7000000000 ₫,Mua bán,,,,Chung cư,,68.62745 tr/m²,Sổ hồng riêng,3 PN,102 m²,2
263046,111507055,1387857486,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Tân Chánh Hiệp,Phường Trung Mỹ Tây,,Tân Chánh Hiệp,Căn hộ/Chung cư,7 ngày trước,0,False,10.8683,106.6259,"10.8683,106.6259",,"1,8 tỷ",,,0,False,2026-03-23 10:02:46,1800000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,32.727272 tr/m²,1,2 PN,55 m²,2
11297389,111565348,972004339,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Nhà Bè,Xã Phú Xuân,Xã Nhà Bè,15B,Nguyễn Lương Bằng,Căn hộ/Chung cư,4 giờ trước,0,False,10.67615,106.74499,"10.67615,106.74499",,"2,9 tỷ",,,0,False,2026-03-31 17:45:30,2900000000 ₫,Mua bán,Nội thất đầy đủ,Căn góc,,Chung cư,,38.666668 tr/m²,Sổ hồng riêng,2 PN,75 m²,2
21605863,111565572,1247214303,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 10,Phường 14,Phường Diên Hồng,334,Tô Hiến Thành,Căn hộ/Chung cư,3 tuần trước,0,False,10.7747,106.66218,"10.7747,106.66218",,7 tỷ,,,0,False,2026-03-11 14:01:03,7000000000 ₫,Mua bán,,,,Chung cư,,97.22222 tr/m²,Hợp đồng mua bán,2 PN,72 m²,2
22230704,111665540,807459125,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,Xã Bình Hưng,13E,Nguyễn Văn Linh,Căn hộ/Chung cư,3 tuần trước,0,False,10.71096,106.64413,"10.71096,106.64413",,"1,95 tỷ",,,0,False,2026-03-07 16:49:02,1950000000 ₫,Mua bán,,,,Chung cư,Đông Nam,39 tr/m²,Hợp đồng mua bán,2 PN,50 m²,2
22230704,111667061,807459125,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,Xã Bình Hưng,13E,Nguyễn Văn Linh,Căn hộ/Chung cư,13 giờ trước,0,False,10.71096,106.64413,"10.71096,106.64413",,"2,1 tỷ",,,0,False,2026-03-31 09:23:33,2100000000 ₫,Mua bán,,0,,Chung cư,,42 tr/m²,Đang chờ sổ,2 PN,50 m²,2
14438778,111668961,1937369028,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Bình Thắng,Phường Đông Hòa,,Xa Lộ Hà Nội,Căn hộ/Chung cư,4 tuần trước,0,False,10.90366,106.79386,"10.90366,106.79386",,"1,15 tỷ",,,,False,2026-03-04 11:13:20,1150000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,29.487179 tr/m²,1,1 PN,39 m²,1
17359097,111669750,963864228,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,Phường Đông Hưng Thuận,,Phan Văn Hớn,Căn hộ/Chung cư,3 ngày trước,0,False,10.82954,106.61561,"10.82954,106.61561",,3 tỷ,,,,False,2026-03-26 14:28:13,3000000000 ₫,Mua bán,,,,Chung cư,,46.153847 tr/m²,Sổ hồng riêng,2 PN,65 m²,2
17465364,111679818,972004339,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Nhà Bè,Xã Phú Xuân,Xã Nhà Bè,15B,Nguyễn Lương Bằng,Căn hộ/Chung cư,4 ngày trước,0,False,10.67615,106.74499,"10.67615,106.74499",,"2,9 tỷ",,,0,False,2026-03-26 07:53:25,2900000000 ₫,Mua bán,Nội thất đầy đủ,Căn góc,,Chung cư,,40.27778 tr/m²,Sổ hồng riêng,2 PN,72 m²,2
23789177,111756889,291705171,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Vĩnh Phú,Phường Bình Hòa,,Quốc Lộ 13,Căn hộ/Chung cư,hôm qua,0,False,10.8693,106.71427,"10.8693,106.71427",,"2,42 tỷ",,,,False,2026-03-28 10:47:37,2420000000 ₫,Mua bán,,,,Chung cư,,47.45098 tr/m²,Sổ hồng riêng,1 PN,51 m²,1
19987766,111774987,1054221343,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường An Bình,Phường Dĩ An,,An Bình,Căn hộ/Chung cư,3 tuần trước,0,False,10.87574,106.75495,"10.87574,106.75495",,"3,6 tỷ",,,0,False,2026-03-09 16:32:02,3600000000 ₫,Mua bán,Hoàn thiện cơ bản,,,Chung cư,,45 tr/m²,Sổ hồng riêng,2 PN,80 m²,2
19987766,111775170,1054221343,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường An Bình,Phường Dĩ An,,An Bình,Căn hộ/Chung cư,3 tuần trước,0,False,10.87574,106.75495,"10.87574,106.75495",,"3,65 tỷ",,,0,False,2026-03-07 16:59:03,3650000000 ₫,Mua bán,,,,Chung cư,,48.666668 tr/m²,Sổ hồng riêng,2 PN,75 m²,2
4253212,111984817,884643742,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 22,Phường Thạnh Mỹ Tây,,Nguyễn Hữu Cảnh,Căn hộ/Chung cư,4 tuần trước,0,False,10.7889,106.7108,"10.7889,106.7108",,9 tỷ,,,,False,2026-03-01 10:49:38,9000000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,100 tr/m²,Sổ hồng riêng,2 PN,90 m²,2
4253212,111985065,884643742,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 22,Phường Thạnh Mỹ Tây,"91 Nguyễn Hữu Cảnh, phường 22, quận Bình THạnh, Tp. Hồ Chí Minh",Nguyễn Hữu Cảnh,Căn hộ/Chung cư,3 tuần trước,0,False,10.7889,106.7108,"10.7889,106.7108",,13 tỷ,,,0,False,2026-03-10 10:08:57,13000000000 ₫,Mua bán,Hoàn thiện cơ bản,Căn góc,,Chung cư,,96.296295 tr/m²,Sổ hồng riêng,3 PN,135 m²,2
459803,112487764,1769515917,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Thuận Giao,Phường Thuận Giao,,Đường Quốc Lộ 13,Căn hộ/Chung cư,3 tuần trước,0,False,10.9624,106.7136,"10.9624,106.7136",,"1,5 tỷ",,,0,False,2026-03-09 16:25:56,1500000000 ₫,Mua bán,Hoàn thiện cơ bản,,Tây,Chung cư,Đông,25 tr/m²,Đang chờ sổ,2 PN,60 m²,2
22387983,113005983,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 10,Phường 12,Phường Hòa Hưng,118,Đường 3 Tháng 2,Căn hộ/Chung cư,4 tuần trước,0,False,10.7693,106.6699,"10.7693,106.6699",,12 tỷ,,,,False,2026-03-04 15:34:04,12000000000 ₫,Mua bán,,,,Chung cư,,112.149536 tr/m²,Đang chờ sổ,3 PN,107 m²,2
12258163,113695333,1311721957,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,Phường Đông Hưng Thuận,,Đường Dương Thị Giang,Căn hộ/Chung cư,4 ngày trước,0,False,10.8242,106.6202,"10.8242,106.6202",,"2,9 tỷ",,,0,False,2026-03-25 16:05:05,2900000000 ₫,Mua bán,,,,Chung cư,,51.785713 tr/m²,Hợp đồng mua bán,2 PN,56 m²,
14310050,113808149,987630212,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Thuận Giao,Phường Thuận Giao,,Thuận Giao 25,Căn hộ/Chung cư,3 tuần trước,0,False,10.9624,106.7136,"10.9624,106.7136",,"1,2 tỷ",,,0,False,2026-03-07 16:14:04,1200000000 ₫,Mua bán,Hoàn thiện cơ bản,,,Chung cư,,36.363636 tr/m²,Sổ hồng riêng,1 PN,33 m²,1
12258163,114143890,1176474859,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,Phường Đông Hưng Thuận,,Đường Dương Thị Giang,Căn hộ/Chung cư,12 giờ trước,0,False,10.8242,106.6202,"10.8242,106.6202",,"3,1 tỷ",,,0,False,2026-03-29 10:18:15,3100000000 ₫,Mua bán,,,,Chung cư,,50.81967 tr/m²,Hợp đồng mua bán,2 PN,61 m²,
12258163,114143926,2113939995,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,Phường Đông Hưng Thuận,,"Số 299 Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh",Căn hộ/Chung cư,4 ngày trước,0,False,10.8295,106.6156,"10.8295,106.6156",,"2,4 tỷ",,,0,False,2026-03-25 16:45:06,2400000000 ₫,Mua bán,,0,,Chung cư,,41.37931 tr/m²,Hợp đồng mua bán,2 PN,58 m²,
23890076,114211863,463953827,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 7,Phường Tân Hưng,Phường Tân Hưng,,Nguyễn Hữu Thọ,Căn hộ/Chung cư,7 ngày trước,0,False,10.74367,106.70149,"10.74367,106.70149",,"6,9 tỷ",,,0,False,2026-03-23 10:29:55,6900000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,65.71429 tr/m²,Hợp đồng đặt cọc,3 PN,105 m²,2
9889628,114307000,1964456515,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Trường Thọ (Quận Thủ Đức cũ),Phường Thủ Đức,,Số 1,Căn hộ/Chung cư,23 giờ trước,0,False,10.8267,106.7583,"10.8267,106.7583",,"2,25 tỷ",,,0,False,2026-03-28 22:57:24,2250000000 ₫,Mua bán,,,,Chung cư,,44.117645 tr/m²,Hợp đồng mua bán,1 PN,51 m²,1
8997749,114354926,1824834652,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,Phường Đông Hưng Thuận,22/14,Trường Chinh,Căn hộ/Chung cư,3 ngày trước,0,False,10.82599,106.62608,"10.82599,106.62608",,"2,96 tỷ",,,,False,2026-03-26 19:47:25,2960000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,46.984127 tr/m²,Sổ hồng riêng,2 PN,63 m²,2
14438778,114448102,1937369028,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Bình Thắng,Phường Đông Hòa,,Xa Lộ Hà Nội,Căn hộ/Chung cư,hôm qua,0,False,10.90366,106.79386,"10.90366,106.79386",,"1,8 tỷ",,,0,False,2026-03-28 10:02:59,1800000000 ₫,Mua bán,,,,Chung cư,,32.142857 tr/m²,Sổ hồng riêng,2 PN,56 m²,2
19987766,114498528,1054221343,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường An Bình,Phường Dĩ An,,An Bình,Căn hộ/Chung cư,2 tuần trước,0,False,10.87574,106.75495,"10.87574,106.75495",,"3,4 tỷ",,,0,False,2026-03-15 11:26:00,3400000000 ₫,Mua bán,,,,Chung cư,,40 tr/m²,Sổ hồng riêng,2 PN,85 m²,2
12914597,114629690,807459125,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,Xã Bình Hưng,13E,Nguyễn Văn Linh,Căn hộ/Chung cư,1 tuần trước,0,False,10.71096,106.64413,"10.71096,106.64413",,"2,2 tỷ",,,0,False,2026-03-19 17:40:23,2200000000 ₫,Mua bán,Hoàn thiện cơ bản,,Đông Bắc,Chung cư,Tây Nam,40 tr/m²,Hợp đồng mua bán,2 PN,55 m²,2
8896202,114683910,360967333,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Trường Thọ (Quận Thủ Đức cũ),Phường Thủ Đức,30,3,Căn hộ/Chung cư,8 giờ trước,0,False,10.8329,106.7564,"10.8329,106.7564",,"3,8 tỷ",,,0,False,2026-03-31 13:59:10,3800000000 ₫,Mua bán,,,,Chung cư,,55.882355 tr/m²,Hợp đồng mua bán,2 PN,68 m²,2
