Mã người đăng,Mã bài đăng,Mã dự án,Tỉnh/Thành phố cũ,Tỉnh/Thành phố mới,Huyện/Quận cũ,Phường/Xã cũ,Phường mới,Số nhà,Đường,Loại hình,Cập nhât lần cuối,Số tầng,Có hướng ra đường,Vĩ độ,Kinh độ,Tọa độ,Tọa độ ID,Giá (chữ),Chiều dài,Chiều rộng,Mức độ quảng cáo,Đăng bởi Đối tác,Ngày đăng,Giá bán,Hình thức,Hướng đất,Diện tích,Loại hình đất,Đơn giá (tr/m2),Giấy tờ pháp lý,Đặc điểm nhà/đất
133361,106805212,,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Bình Thắng,Phường Đông Hòa,,D6,Đất,6 ngày trước,0,False,10.894831,106.81699,"10.894831,106.81699",,"4,5 tỷ",15 m2,5 m2,0,False,2026-03-24 15:02:16,4500000000 ₫,Mua bán,Đông,75.5 m²,Đất thổ cư,59.60265 tr/m²,Đã có sổ,Mặt tiền
541547,107504918,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Củ Chi,Xã Bình Mỹ,Xã Bình Mỹ,,Võ Văn Bích,Đất,4 tuần trước,0,False,10.9228,106.6026,"10.9228,106.6026",,"1,95 tỷ",17 m2,5 m2,,False,2026-03-04 09:42:30,1950000000 ₫,Mua bán,Tây Bắc,85 m²,Đất thổ cư,22.941177 tr/m²,Đã có sổ,Hẻm xe hơi
17312569,107912973,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 13,Phường Bình Lợi Trung,,Đường Đặng Thùy Trâm,Đất,3 tuần trước,0,False,10.829364,106.70283,"10.829364,106.70283",,"16,9 tỷ",21 m2,8 m2,0,False,2026-03-10 14:49:57,16900000000 ₫,Mua bán,,168 m²,Đất thổ cư,100.59524 tr/m²,Đã có sổ,Hẻm xe hơi;Mặt tiền;Thổ cư toàn bộ
1343336,107966398,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Hóc Môn,Xã Thới Tam Thôn,Xã Đông Thạnh,65/1G,Thới Tam Thôn 17,Đất,4 tuần trước,0,False,10.8746,106.6184,"10.8746,106.6184",,20 tỷ,,,,False,2026-02-28 08:51:45,20000000000 ₫,Mua bán,,1000 m²,Đất thổ cư,20 tr/m²,Đã có sổ,Mặt tiền
1371053,108189900,,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Thị xã Phú Mỹ,Xã Châu Pha,Xã Châu Pha,,Châu Pha Bà Rịa,Đất,3 tuần trước,0,False,10.5735,107.1541,"10.5735,107.1541",,"4,6 tỷ",45 m2,10 m2,0,False,2026-03-07 14:56:22,4600000000 ₫,Mua bán,Đông,450 m²,Đất thổ cư,10.222222 tr/m²,Đã có sổ,Mặt tiền;Hẻm xe hơi;Nở hậu
13094067,108349690,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 8,Phường 7,Phường Bình Đông,1853,Phạm Thế Hiển,Đất,4 ngày trước,0,False,10.704697,106.62104,"10.704697,106.62104",,"4,9 tỷ",22 m2,5 m2,0,False,2026-03-26 08:55:32,4900000000 ₫,Mua bán,Đông Nam,110 m²,Đất nền dự án,44.545456 tr/m²,Đã có sổ,
11041351,108503148,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Củ Chi,Xã Tân Thạnh Đông,Xã Phú Hòa Đông,,Đường 130,Đất,3 tuần trước,0,False,10.971404,106.57805,"10.971404,106.57805",,"3,45 tỷ",,,0,False,2026-03-09 15:29:52,3450000000 ₫,Mua bán,,272 m²,Đất thổ cư,12.683824 tr/m²,,
25582893,108519696,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Nhà Bè,Xã Long Thới,Xã Hiệp Phước,,Nguyễn Văn Tạo,Đất,2 tuần trước,0,False,10.6478,106.731,"10.6478,106.731",,"5,25 tỷ",25 m2,6 m2,0,False,2026-03-19 08:53:09,5250000000 ₫,Mua bán,,150 m²,Đất thổ cư,35 tr/m²,Đã có sổ,Hẻm xe hơi
17260285,109192225,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Hóc Môn,Xã Tân Hiệp,Xã Hóc Môn,,Đường Song Hành Quốc Lộ 22,Đất,4 tuần trước,0,False,10.8970585,106.589165,"10.8970585,106.589165",,"1,45 tỷ",22 m2,5 m2,,False,2026-03-02 16:36:02,1450000000 ₫,Mua bán,,110 m²,Đất thổ cư,13.181818 tr/m²,Đã có sổ,Hẻm xe hơi;Nở hậu
4909510,109263227,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 13,Phường Bình Lợi Trung,,Đường Đặng Thùy Trâm,Đất,21 giờ trước,0,False,10.829364,106.70283,"10.829364,106.70283",,"12,7 tỷ",20 m2,5 m2,0,False,2026-03-29 08:18:46,12700000000 ₫,Mua bán,,100 m²,Đất thổ cư,127 tr/m²,Đã có sổ,Hẻm xe hơi;Mặt tiền;Thổ cư toàn bộ
4909510,109263502,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 13,Phường Bình Lợi Trung,,Đường Đặng Thùy Trâm,Đất,4 tuần trước,0,False,10.829364,106.70283,"10.829364,106.70283",,"14,5 tỷ",22 m2,5 m2,,False,2026-03-04 08:25:22,14500000000 ₫,Mua bán,,110 m²,Đất thổ cư,131.81818 tr/m²,Đã có sổ,Mặt tiền;Hẻm xe hơi;Thổ cư toàn bộ
4909510,109401008,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 13,Phường Bình Lợi Trung,,Bình Lợi,Đất,12 giờ trước,0,False,10.8296,106.7057,"10.8296,106.7057",,"18,9 tỷ",21 m2,10 m2,0,False,2026-03-31 11:02:52,18900000000 ₫,Mua bán,,210 m²,Đất thổ cư,90 tr/m²,Đã có sổ,Mặt tiền;Hẻm xe hơi
12186421,109551457,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,Xã Nhà Bè,,Nguyễn Hữu Thọ,Đất,2 tuần trước,0,False,10.7132,106.7057,"10.7132,106.7057",,120 tỷ,196 m2,50 m2,0,False,2026-03-17 08:44:44,120000000000 ₫,Mua bán,Tây Nam,9300 m²,Đất nông nghiệp,12.903226 tr/m²,Đã có sổ,Mặt tiền
13094067,109625494,1666865804,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 8,Phường 7,Phường Bình Đông,,Phạm Thế Hiển,Đất,1 tuần trước,0,False,10.71493,106.63096,"10.71493,106.63096",,"13,8 tỷ",22 m2,10 m2,0,False,2026-03-20 10:21:27,13800000000 ₫,Mua bán,Tây,220 m²,Đất nền dự án,62.727272 tr/m²,Đã có sổ,Mặt tiền
20669403,109657607,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 13,Phường Bình Lợi Trung,,Đường Đặng Thùy Trâm,Đất,7 ngày trước,0,False,10.829,106.7025,"10.829,106.7025",,11 tỷ,20 m2,5 m2,0,False,2026-03-23 10:46:11,11000000000 ₫,Mua bán,,100 m²,Đất thổ cư,110 tr/m²,Đã có sổ,
4909510,109750883,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 13,Phường Bình Lợi Trung,,Đường Đặng Thùy Trâm,Đất,3 tuần trước,0,False,10.829364,106.70283,"10.829364,106.70283",,"14,5 tỷ",24 m2,5 m2,0,False,2026-03-12 13:35:06,14500000000 ₫,Mua bán,,120 m²,Đất thổ cư,120.833336 tr/m²,Đã có sổ,Hẻm xe hơi;Mặt tiền
13094067,109783856,1666865804,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 8,Phường 7,Phường Bình Đông,,Phạm Thế Hiển,Đất,3 tuần trước,0,False,10.71493,106.63096,"10.71493,106.63096",,11 tỷ,24 m2,10 m2,0,False,2026-03-09 21:24:11,11000000000 ₫,Mua bán,,240 m²,Đất nền dự án,45.833332 tr/m²,Đã có sổ,Mặt tiền
4909510,109965264,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 13,Phường Bình Lợi Trung,,Bình Lợi,Đất,2 tuần trước,0,False,10.829622,106.70577,"10.829622,106.70577",,11 tỷ,21 m2,6 m2,0,False,2026-03-16 07:19:38,11000000000 ₫,Mua bán,,120 m²,Đất thổ cư,91.666664 tr/m²,Đã có sổ,Mặt tiền;Hẻm xe hơi
4710041,109987423,,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Huyện Đất Đỏ,Thị trấn Phước Hải,Xã Phước Hải,,Trần Hưng Đạo,Đất,4 tuần trước,0,False,10.4054,107.2603,"10.4054,107.2603",,"7,8 tỷ",19.7999 m2,4.4 m2,0,False,2026-03-01 15:46:11,7800000000 ₫,Mua bán,Đông Nam,86 m²,Đất thổ cư,90.69768 tr/m²,Đã có sổ,
2248889,110093205,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Hóc Môn,Xã Nhị Bình,Xã Đông Thạnh,,Đường Nhị Bình 18,Đất,1 tuần trước,0,False,10.9041,106.6829,"10.9041,106.6829",,"6,139 tỷ",35 m2,7 m2,0,False,2026-03-22 10:29:16,6139000000 ₫,Mua bán,Tây Bắc,222 m²,Đất thổ cư,27.653152 tr/m²,Đã có sổ,Mặt tiền;Hẻm xe hơi;Nở hậu
14669694,110461393,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,Phường An Phú Đông,,Hà Huy Giáp,Đất,7 ngày trước,0,False,10.85542,106.679436,"10.85542,106.679436",,"7,5 tỷ",22 m2,4 m2,0,False,2026-03-23 13:11:01,7500000000 ₫,Mua bán,,90 m²,Đất thổ cư,83.333336 tr/m²,Đã có sổ,Mặt tiền
16936518,110630404,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Nhà Bè,Xã Phú Xuân,Xã Nhà Bè,2552,Huỳnh Tấn Phát,Đất,4 tuần trước,0,False,10.6738,106.7649,"10.6738,106.7649",,"3,99 tỷ",16 m2,5 m2,,False,2026-03-02 16:52:02,3990000000 ₫,Mua bán,,81.6999 m²,Đất thổ cư,48.83727 tr/m²,Đã có sổ,Mặt tiền;Hẻm xe hơi;Nở hậu
4710041,110714036,,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Huyện Đất Đỏ,Thị trấn Phước Hải,Xã Phước Hải,,Huỳnh Tấn Phát,Đất,5 ngày trước,0,False,10.4054,107.2605,"10.4054,107.2605",,"3,3 tỷ",20 m2,5 m2,0,False,2026-03-25 09:08:26,3300000000 ₫,Mua bán,Đông Nam,100 m²,Đất thổ cư,33 tr/m²,Đã có sổ,Mặt tiền
1883269,110984972,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Hưng,Xã Bình Hưng,,Đoàn Nguyễn Tuấn,Đất,4 tuần trước,0,False,10.659,106.6063,"10.659,106.6063",,"2,59 tỷ",20.3899 m2,5.2898 m2,,False,2026-02-28 11:14:27,2590000000 ₫,Mua bán,Đông Bắc,109 m²,Đất thổ cư,23.761467 tr/m²,Đã có sổ,Hẻm xe hơi;Nở hậu
1371053,111174531,,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Thị xã Phú Mỹ,Xã Tóc Tiên,Xã Châu Pha,,Đường Mỹ Xuân-Tóc Tiên,Đất,2 tuần trước,0,False,10.6241,107.08888,"10.6241,107.08888",,"14,8 tỷ",45 m2,170 m2,0,False,2026-03-15 09:08:03,14800000000 ₫,Mua bán,Đông,8200 m²,Đất thổ cư,1.804878 tr/m²,Đã có sổ,Mặt tiền;Hẻm xe hơi;Nở hậu
1371053,111176731,,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Thị xã Phú Mỹ,Xã Tóc Tiên,Xã Châu Pha,,hắc dịch tóc tiên,Đất,5 ngày trước,0,False,10.6029,107.1228,"10.6029,107.1228",,15 tỷ,120 m2,36 m2,0,False,2026-03-24 21:14:54,15000000000 ₫,Mua bán,Nam,4500 m²,Đất thổ cư,3.3333333 tr/m²,,Mặt tiền;Hẻm xe hơi;Nở hậu
26125157,111313945,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Củ Chi,Xã Trung An,Xã Bình Mỹ,,Đường Số 460,Đất,3 ngày trước,0,False,10.9954,106.5762,"10.9954,106.5762",,"2,35 tỷ",25 m2,5 m2,0,False,2026-03-26 22:25:57,2350000000 ₫,Mua bán,,125 m²,Đất thổ cư,18.8 tr/m²,Đã có sổ,Mặt tiền;Hẻm xe hơi
4909510,111566370,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 13,Phường Bình Lợi Trung,,Đường Đặng Thùy Trâm,Đất,4 tuần trước,0,False,10.829364,106.70283,"10.829364,106.70283",,"8,9 tỷ",15 m2,4 m2,0,False,2026-03-05 09:11:35,8900000000 ₫,Mua bán,,60 m²,Đất thổ cư,148.33333 tr/m²,Đã có sổ,Hẻm xe hơi;Mặt tiền
4710041,112176873,,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Huyện Đất Đỏ,Xã Lộc An,Xã Phước Hải,,Trường Cấp 2,Đất,10 giờ trước,0,False,10.4764,107.3433,"10.4764,107.3433",,"2,1 tỷ",15 m2,10 m2,0,False,2026-03-29 18:49:19,2100000000 ₫,Mua bán,,150 m²,Đất thổ cư,14 tr/m²,Đã có sổ,Mặt tiền
4572622,112281930,,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Đông Hòa,Phường Đông Hòa,,Tô Vĩnh Diện,Đất,3 ngày trước,0,False,10.8864,106.7834,"10.8864,106.7834",,"7,9 tỷ",23 m2,5 m2,0,True,2026-03-27 15:07:32,7900000000 ₫,Mua bán,,112 m²,Đất thổ cư,70.53571 tr/m²,Đã có sổ,Mặt tiền
8180,112931000,,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Bình An,Phường Đông Hòa,,Quốc lộ 1K,Đất,5 ngày trước,0,False,10.9049,106.794,"10.9049,106.794",,5 tỷ,20 m2,7.5 m2,0,False,2026-03-25 14:51:17,5000000000 ₫,Mua bán,,150 m²,Đất thổ cư,33.333332 tr/m²,Đã có sổ,Mặt tiền;Thổ cư toàn bộ
1371053,112931640,,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Thị xã Phú Mỹ,Xã Châu Pha,Xã Châu Pha,,Châu Pha Bà Rịa,Đất,3 tuần trước,0,False,10.5733,107.1539,"10.5733,107.1539",,"10,8 tỷ",95 m2,35 m2,0,False,2026-03-11 12:00:02,10800000000 ₫,Mua bán,Nam,3500 m²,Đất thổ cư,3.0857143 tr/m²,Đã có sổ,Mặt tiền;Hẻm xe hơi;Nở hậu
23778981,113083569,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Long Trường (Quận 9 cũ),Phường Long Trường,Đất ruộng,Đường Tam Đa,Đất,14 giờ trước,0,False,10.8072,106.8283,"10.8072,106.8283",,66 tỷ,80 m2,104 m2,0,False,2026-03-31 09:22:44,66000000000 ₫,Mua bán,Đông,8337 m²,Đất nông nghiệp,7.916517 tr/m²,Đã có sổ,
4572622,113828788,,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Tân Đông Hiệp,Phường Tân Đông Hiệp,,Lê Văn Mầm,Đất,1 tuần trước,0,False,10.9274,106.7629,"10.9274,106.7629",,"2,85 tỷ",17 m2,5 m2,0,True,2026-03-22 19:44:17,2850000000 ₫,Mua bán,,82 m²,Đất thổ cư,34.756096 tr/m²,Đã có sổ,Mặt tiền
14148956,113882826,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Phạm Văn Hai,Xã Tân Vĩnh Lộc,,Liên Ấp 2 - 3,Đất,1 tuần trước,0,False,10.781,106.5334,"10.781,106.5334",,4 tỷ,28 m2,4 m2,,False,2026-03-20 08:57:52,4000000000 ₫,Mua bán,,112 m²,Đất thổ cư,35.714287 tr/m²,Đã có sổ,Mặt tiền
14760717,113949719,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Hóc Môn,Xã Nhị Bình,Xã Đông Thạnh,,Nhị Bình 20,Đất,7 ngày trước,0,False,10.9131,106.6703,"10.9131,106.6703",,7 tỷ,32 m2,11 m2,0,False,2026-03-23 11:32:34,7000000000 ₫,Mua bán,Đông Nam,360 m²,Đất thổ cư,19.444445 tr/m²,Đã có sổ,Mặt tiền
2142829,113993394,,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Huyện Châu Đức,Xã Quảng Thành,Xã Bình Giã,,Kim Long - Quảng Thành,Đất,1 tháng trước,0,False,10.6944,107.2781,"10.6944,107.2781",,"1,299 tỷ",51 m2,20 m2,,False,2026-02-26 14:00:45,1299000000 ₫,Mua bán,,1086 m²,Đất thổ cư,1.1961325 tr/m²,Đã có sổ,Mặt tiền;Chưa có thổ cư
14760717,114296388,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Hóc Môn,Xã Nhị Bình,Xã Đông Thạnh,,Nhị Bình,Đất,3 tuần trước,0,False,10.9131,106.6703,"10.9131,106.6703",,9 tỷ,43 m2,15 m2,0,False,2026-03-10 08:00:45,9000000000 ₫,Mua bán,,600 m²,Đất thổ cư,15 tr/m²,Đã có sổ,Mặt tiền
2248889,114369100,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Hóc Môn,Xã Nhị Bình,Xã Đông Thạnh,,NHỊ BÌNH,Đất,2 tuần trước,0,False,10.9132,106.6733,"10.9132,106.6733",,"7,5 tỷ",55 m2,18 m2,0,False,2026-03-17 06:48:02,7500000000 ₫,Mua bán,Đông,10000 m²,Đất nông nghiệp,0.75 tr/m²,Đã có sổ,
15932205,114626179,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Củ Chi,Xã An Nhơn Tây,Xã An Nhơn Tây,399,Đường Đỗ Đăng Tuyến,Đất,5 giờ trước,0,False,11.0719,106.4681,"11.0719,106.4681",,"2,38 tỷ",60 m2,4 m2,0,False,2026-03-30 08:20:54,2380000000 ₫,Mua bán,,240 m²,Đất thổ cư,9.916667 tr/m²,Đã có sổ,Mặt tiền;Nở hậu
14315943,114896721,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Nhà Bè,Xã Nhơn Đức,Xã Hiệp Phước,,Lê Văn Lương,Đất,1 tuần trước,0,False,10.6721,106.6977,"10.6721,106.6977",,"1,68 tỷ",17.7 m2,4 m2,0,False,2026-03-22 07:48:05,1680000000 ₫,Mua bán,,70 m²,Đất thổ cư,24 tr/m²,Đã có sổ,Mặt tiền
5337393,115109551,,Bình Dương,TP Hồ Chí Minh,Thành phố Thủ Dầu Một,Phường Tân An,Phường Phú An,,Đất 1/sẹc Đường Nguyễn Chí Thanh,Đất,3 ngày trước,0,False,11.0255,106.6237,"11.0255,106.6237",,5 tỷ,22 m2,42 m2,0,False,2026-03-27 09:10:42,5000000000 ₫,Mua bán,Tây,1134 m²,Đất thổ cư,4.409171 tr/m²,Đã có sổ,Hẻm xe hơi;Thổ cư toàn bộ
22379988,115123042,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Hóc Môn,Xã Tân Xuân,Xã Hóc Môn,,Đường Tô Ký,Đất,2 ngày trước,0,False,10.8794,106.6092,"10.8794,106.6092",,18 tỷ,52 m2,24 m2,0,False,2026-03-27 19:16:46,18000000000 ₫,Mua bán,,1270.3 m²,Đất thổ cư,14.169881 tr/m²,Đã có sổ,Thổ cư 1 phần;Hẻm xe hơi
5337393,115127248,,Bình Dương,TP Hồ Chí Minh,Thành phố Thủ Dầu Một,Phường Phú Mỹ,Phường Bình Dương,,Bê Tông 5m,Đất,6 ngày trước,0,False,11.0136,106.682,"11.0136,106.682",,"2,2 tỷ",20 m2,5 m2,0,False,2026-03-24 06:27:35,2200000000 ₫,Mua bán,Bắc,100 m²,Đất thổ cư,22 tr/m²,Đã có sổ,Hẻm xe hơi
4909510,115576167,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 13,Phường Bình Lợi Trung,144/47,Đường Bình Lợi,Đất,hôm qua,0,False,10.8296,106.7057,"10.8296,106.7057",,"11,5 tỷ",23 m2,6 m2,0,False,2026-03-28 08:14:13,11500000000 ₫,Mua bán,,135 m²,Đất thổ cư,85.18519 tr/m²,Đã có sổ,Hẻm xe hơi;Thổ cư toàn bộ;Chưa có thổ cư
59010,115744793,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Củ Chi,Xã Thái Mỹ,Xã Thái Mỹ,,Đường Tỉnh lộ 7,Đất,3 tuần trước,0,False,10.9926,106.3833,"10.9926,106.3833",,"10,9 tỷ",46 m2,21 m2,,False,2026-03-10 14:46:37,10900000000 ₫,Mua bán,Tây,1000 m²,Đất thổ cư,10.9 tr/m²,Đã có sổ,Mặt tiền;Nở hậu;Thổ cư toàn bộ
5337393,115775612,,Bình Dương,TP Hồ Chí Minh,Thành phố Thủ Dầu Một,Phường Tân An,Phường Phú An,,1/ Sẹc Đường Nguỹen Chí Thanh 30m Vào Đến Đất,Đất,7 ngày trước,0,False,11.0255,106.6237,"11.0255,106.6237",,5 tỷ,26 m2,43 m2,0,False,2026-03-23 09:02:17,5000000000 ₫,Mua bán,Bắc,1134 m²,Đất thổ cư,4.409171 tr/m²,Đã có sổ,Hẻm xe hơi
8001,115940065,127179675,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Bình An,Phường Đông Hòa,,Bình An,Đất,2 tuần trước,0,False,10.9016,106.8317,"10.9016,106.8317",,12 tỷ,20 m2,15 m2,0,False,2026-03-13 14:57:19,12000000000 ₫,Mua bán,Nam,300 m²,Đất nền dự án,40 tr/m²,Đã có sổ,Mặt tiền;Thổ cư toàn bộ
63847,116037512,987630212,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Củ Chi,Xã Thái Mỹ,Xã Thái Mỹ,,Đường Tỉnh lộ 7,Đất,5 ngày trước,0,False,10.9926,106.3833,"10.9926,106.3833",,"5,3 tỷ",70 m2,7 m2,0,False,2026-03-25 08:47:21,5300000000 ₫,Mua bán,,490 m²,Đất thổ cư,10.816326 tr/m²,Đã có sổ,Mặt tiền;Hẻm xe hơi;Nở hậu;Chưa có thổ cư;Thổ cư 1 phần
